"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Login with valid credentials","ui","Mon Jan 27 21:58:53 UTC 2025","skipped","Mon Jan 27 21:58:53 UTC 2025","[UI] [Login]","","",""
"","0","Open Customers list page","ui","Mon Jan 27 21:58:53 UTC 2025","skipped","Mon Jan 27 21:58:53 UTC 2025","[UI] [Login]","","",""
"","628","Create customer with valid data","api","Mon Jan 27 21:59:01 UTC 2025","failed","Mon Jan 27 21:59:02 UTC 2025","[API] [Customers]","","",""
"","1","Create customer with valid data with fixture","ui","Mon Jan 27 21:58:53 UTC 2025","skipped","Mon Jan 27 21:58:53 UTC 2025","[UI] [Customers] Smoke with fixtures","","",""
"","0","Create customer with valid data","ui","Mon Jan 27 21:58:53 UTC 2025","skipped","Mon Jan 27 21:58:53 UTC 2025","[UI] [Customers] Smoke","","",""
"","677","Should login with valid credentials","setup","Mon Jan 27 21:58:52 UTC 2025","failed","Mon Jan 27 21:58:53 UTC 2025","","","",""
"","0","Validate created customer","ui","Mon Jan 27 21:58:53 UTC 2025","skipped","Mon Jan 27 21:58:53 UTC 2025","[UI] [Customers] Smoke with fixtures","","",""
"","1","Create customer with valid data","ui","Mon Jan 27 21:58:53 UTC 2025","skipped","Mon Jan 27 21:58:53 UTC 2025","[UI] [Customers] Smoke","","",""
